ASIN,NAME,AUTHOR,STARS,ISBN13,ISBN10,SALE_PRICE,ORIGINAL_PRICE,ITEM_SUBCATEGORY,ITEM_SPECIFIC_CATEGORY,AVAILABILITY,URL,STATUS,OBSERVATIONS
1491957662,"Python for Data Analysis: Data Wrangling with Pandas, NumPy, and IPython",Wes McKinney,4.1,978-1491957660,1491957662,$49.99,$49.99,Computers & Technology,Databases & Big Data,In Stock.,https://www.amazon.com/dp/1491957662,5.0,Sale price not found
1491962291,"Hands-On Machine Learning with Scikit-Learn and TensorFlow: Concepts, Tools, and Techniques to Build Intelligent Systems",Aurélien Géron,4.4,978-1491962299,1491962291,$41.42,$49.99,Computers & Technology,Computer Science,In Stock.,https://www.amazon.com/dp/1491962291,5.0,ASIN number not found
1501121472,Prisoners of Geography: Ten Maps That Explain Everything About the World (Politics of Place),Tim Marshall,4.5,978-1501121470,1501121472,$14.49,$18.00,Science & Math,Earth Sciences,In Stock.,https://www.amazon.com/dp/1501121472,5.0,ASIN number not found
1501163930,"Space Odyssey: Stanley Kubrick, Arthur C. Clarke, and the Making of a Masterpiece",Michael Benson,4.7,978-1501163937,1501163930,$17.70,$30.00,Biographies & Memoirs,Arts & Literature,In Stock.,https://www.amazon.com/dp/1501163930,5.0,Error in ISBN10
1502586266,Letters From A Self-Made Merchant To His Son,George Horace Lorimer,4.0,978-1502586261,1502586266,$6.94,$6.94,Literature & Fiction,Humor & Satire,In Stock.,https://www.amazon.com/dp/1502586266,5.0,Original price not found
1523502967,The Younger Next Year Back Book: The Whole-Body Plan to Conquer Back Pain Forever,Chris Crowley - Jeremy James DC CSCS,5.0,978-1523502967,1523502967,$19.86,$26.95,Medical Books,Medicine,In Stock.,https://www.amazon.com/dp/1523502967,5.0,ASIN number not found
1541697235,The Perfect Bet: How Science and Math Are Taking the Luck Out of Gambling,Adam Kucharski,3.9,978-1541697232,1541697235,$12.91,$18.99,Computers & Technology,Computer Science,In Stock.,https://www.amazon.com/dp/1541697235,5.0,Error in ISBN10
1551808366,Start & Run an Internet Research Business (Start & Run Business Series),Gerhard W. Kautz,3.8,978-1551808369,1551808366,$21.95,$21.95,Business & Money,Small Business & Entrepreneurship,Only 4 left in stock (more on the way).,https://www.amazon.com/dp/1551808366,5.0,Original price not found
1568584636,Stamped from the Beginning: The Definitive History of Racist Ideas in America (National Book Award Winner),Ibram X. Kendi,4.7,978-1568584638,1568584636,$22.43,$32.99,History,Americas,In Stock.,https://www.amazon.com/dp/1568584636,5.0,Error in ISBN10
1583335307,"Budget Bytes: Over 100 Easy, Delicious Recipes to Slash Your Grocery Bill in Half",Beth Moncel,4.6,978-1583335307,1583335307,$15.02,$18.00,Business & Money,Personal Finance,In Stock.,https://www.amazon.com/dp/1583335307,5.0,ASIN number not found
1590519299,Berlin 1936: Sixteen Days in August,Oliver Hilmes - Jefferson Chase,3.9,978-1590519295,1590519299,$15.11,$24.95,History,Europe,In Stock.,https://www.amazon.com/dp/1590519299,5.0,Error in ISBN10
1591843472,The Score Takes Care of Itself: My Philosophy of Leadership,Bill Walsh - Steve Jamison - Craig Walsh - & - more,4.7,978-1591843474,1591843472,$14.45,$17.00,Business & Money,Management & Leadership,In Stock.,https://www.amazon.com/dp/1591843472,5.0,ASIN number not found
1591845823,Built to Sell: Creating a Business That Can Thrive Without You,John Warrillow - Bo Burlingham,4.7,978-1591845829,1591845823,$12.75,$16.00,Business & Money,Small Business & Entrepreneurship,In Stock.,https://www.amazon.com/dp/1591845823,5.0,ASIN number not found
1591846447,Start with Why: How Great Leaders Inspire Everyone to Take Action,Simon Sinek,4.5,978-1591846444,1591846447,$11.69,$16.00,Business & Money,Industries,In Stock.,https://www.amazon.com/dp/1591846447,5.0,Error in ISBN10
1591846463,Arrival of the Fittest: Solving Evolution's Greatest Puzzle,Andreas Wagner,4.4,978-1591846468,1591846463,$11.99,$27.95,Science & Math,Biological Sciences,In Stock.,https://www.amazon.com/dp/1591846463,5.0,ASIN number not found
159184682X,My Share of the Task: A Memoir,General Stanley McChrystal,4.4,978-1591846826,159184682X,$14.88,$20.00,Biographies & Memoirs,Leaders & Notable People,In Stock.,https://www.amazon.com/dp/159184682X,5.0,ASIN number not found
1591846927,"The Right Kind of Crazy: A True Story of Teamwork, Leadership, and High-Stakes Innovation",Adam Steltzner - William Patrick,4.4,978-1591846925,1591846927,$14.88,$28.00,Engineering & Transportation,Engineering,In Stock.,https://www.amazon.com/dp/1591846927,5.0,Error in ISBN10
1591848261,Anything You Want: 40 Lessons for a New Kind of Entrepreneur,Derek Sivers,4.7,978-1591848264,1591848261,$13.27,$19.95,Business & Money,Business Culture,In Stock.,https://www.amazon.com/dp/1591848261,5.0,ASIN number not found
0809078813,Priceless: The Myth of Fair Value (and How to Take Advantage of It),William Poundstone,4.2,978-0809078813,0809078813,$11.40,$16.00,Business & Money,Economics,In Stock.,https://www.amazon.com/dp/B019L4NJ1M,1.0,ASIN number not found
0812968255,Meditations: A New Translation,Marcus Aurelius - Gregory Hays,4.2,978-0812968255,0812968255,$10.45,$10.45,"New, Used & Rental Textbooks",Humanities,In Stock.,https://www.amazon.com/dp/B01FOD7CRG,1.0,Original price not found
0060105518,Bodyguard of Lies,Anthony Cave Brown,4.6,978-0060105518,0060105518,,,History,Military,,https://www.amazon.com/dp/0060105518,5.0,Original price not found
0060742763,Setting the Table: The Transforming Power of Hospitality in Business,Danny Meyer,4.5,978-0060742768,0060742763,$10.87,$16.99,Biographies & Memoirs,Professionals & Academics,In Stock.,https://www.amazon.com/dp/0060742763,5.0,ASIN number not found
0060753676,George Washington: The Founding Father (Eminent Lives),Paul Johnson,4.1,978-0060753672,0060753676,$14.99,$14.99,Biographies & Memoirs,Leaders & Notable People,In Stock.,https://www.amazon.com/dp/0060753676,5.0,Original price not found
0060915331,A History of the Jews,Paul Johnson,4.3,978-0060915339,0060915331,$13.95,$17.99,Biographies & Memoirs,Ethnic & National,"In stock on November 4, 2018. - Order it now.",https://www.amazon.com/dp/0060915331,5.0,ASIN number not found
0060930349,A History of the American People,Paul Johnson,4.3,978-0060930349,0060930349,$20.00,$22.99,"New, Used & Rental Textbooks",Humanities,In Stock.,https://www.amazon.com/dp/0060930349,5.0,Error in ISBN10
0060935502,Modern Times Revised Edition: The World from the Twenties to the Nineties (Perennial Classics),Paul Johnson,4.4,978-0060935504,0060935502,$17.77,$21.99,History,Americas,In Stock.,https://www.amazon.com/dp/0060935502,5.0,ASIN number not found
0061353248,"Predictably Irrational, Revised and Expanded Edition: The Hidden Forces That Shape Our Decisions",Dr. Dan Ariely,4.5,978-0061353246,0061353248,$15.29,$16.99,Business & Money,Management & Leadership,In Stock.,https://www.amazon.com/dp/0061353248,5.0,Error in ISBN10
0061723762,"Bounce: Mozart, Federer, Picasso, Beckham, and the Science of Success",Matthew Syed,4.5,978-0061723766,0061723762,$8.39,$16.99,Business & Money,Industries,In Stock.,https://www.amazon.com/dp/0061723762,5.0,ASIN number not found
006177460X,The 50th Law,50 Cent - Robert Greene,4.6,978-0061774607,006177460X,$14.99,$23.99,Arts & Photography,Music,In Stock.,https://www.amazon.com/dp/006177460X,5.0,Error in ISBN10
0062076256,Civil War America: 1850-1870,Paul Johnson,3.7,978-0062076250,0062076256,$10.00,$10.00,History,Americas,Only 7 left in stock (more on the way).,https://www.amazon.com/dp/0062076256,5.0,Original price not found
0062219693,The Art of Thinking Clearly,Rolf Dobelli,4.0,978-0062219695,0062219693,$12.09,$16.99,"Health, Fitness & Dieting",Psychology & Counseling,In Stock.,https://www.amazon.com/dp/0062219693,5.0,ASIN number not found
0062316095,Sapiens: A Brief History of Humankind,Yuval Noah Harari,4.6,978-0062316097,0062316095,$31.50,$35.00,History,World,"In stock on October 30, 2018. - Order it now.",https://www.amazon.com/dp/0062316095,5.0,ASIN number not found
006236250X,Digital Gold: Bitcoin and the Inside Story of the Misfits and Millionaires Trying to Reinvent Money,Nathaniel Popper,4.6,978-0062362506,006236250X,$12.17,$15.99,Business & Money,Biography & History,In Stock.,https://www.amazon.com/dp/006236250X,5.0,Error in ISBN10
0062390856,"Everybody Lies: Big Data, New Data, and What the Internet Can Tell Us About Who We Really Are",Seth Stephens-Davidowitz,4.3,978-0062390851,0062390856,$19.03,$27.99,Business & Money,Management & Leadership,In Stock.,https://www.amazon.com/dp/0062390856,5.0,ASIN number not found
0062435612,Competing Against Luck: The Story of Innovation and Customer Choice,Clayton M. Christensen - Karen Dillon - Taddy Hall - David S. Duncan - & - more,4.5,978-0062435613,0062435612,$16.72,$29.99,Business & Money,Industries,In Stock.,https://www.amazon.com/dp/0062435612,5.0,ASIN number not found
0062468138,What Does This Button Do?: An Autobiography,Bruce Dickinson,4.4,978-0062468130,0062468138,$19.42,$28.99,Arts & Photography,Music,In Stock.,https://www.amazon.com/dp/0062468138,5.0,Error in ISBN10
0066620996,Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,978-0066620992,0066620996,$14.99,$32.50,Business & Money,Biography & History,In Stock.,https://www.amazon.com/dp/0066620996,5.0,Error in ISBN10
0071392319,The Toyota Way: 14 Management Principles from the World's Greatest Manufacturer,Jeffrey K. Liker,4.6,978-0071392310,0071392319,$16.52,$32.00,Business & Money,Management & Leadership,In Stock.,https://www.amazon.com/dp/0071392319,5.0,ASIN number not found
0071441190,The Lean Six Sigma Pocket Toolbook: A Quick Reference Guide to 100 Tools for Improving Quality and Speed,Michael L. George - John Maxey - David Rowlands - Mark Price - & - more,4.6,978-0071441193,0071441190,$14.58,$20.00,Business & Money,Management & Leadership,In Stock.,https://www.amazon.com/dp/0071441190,5.0,ASIN number not found
0071446370,The Millionaire Real Estate Investor,Gary Keller - Dave Jenks - Jay Papasan - & - more,4.4,978-0071446372,0071446370,$22.50,$25.00,Business & Money,Management & Leadership,In Stock.,https://www.amazon.com/dp/0071446370,5.0,Error in ISBN10
0071828915,Value Stream Mapping: How to Visualize Work and Align Leadership for Organizational Transformation,Karen Martin - Mike Osterling,4.5,978-0071828918,0071828915,$31.12,$40.00,Business & Money,Management & Leadership,In Stock.,https://www.amazon.com/dp/0071828915,5.0,ASIN number not found
0091929784,Rework: Change The Way You Work Forever,Jason Fried - David Heinemeier Hansson,4.5,978-0091929787,0091929784,$14.88,$24.25,Business & Money,Business Culture,Only 10 left in stock - order soon.,https://www.amazon.com/dp/0091929784,5.0,ASIN number not found
0132350882,Clean Code: A Handbook of Agile Software Craftsmanship,Robert C. Martin,4.2,978-0132350884,0132350882,$47.49,$49.99,Computers & Technology,Programming,"In stock on October 27, 2018. - Order it now.",https://www.amazon.com/dp/0132350882,5.0,Error in ISBN10
0133966151,The Non-Designer's Design Book (4th Edition),Robin Williams,4.6,978-0133966152,0133966151,$34.99,$34.99,Arts & Photography,Graphic Design,In Stock.,https://www.amazon.com/dp/0133966151,5.0,Sale price not found
0140051643,"The Measure of My Days: One Woman's Vivid, Enduring Celebration of Life and Aging",Florida Scott-Maxwell,4.1,978-0140051643,0140051643,$14.20,$14.20,Biographies & Memoirs,Professionals & Academics,In Stock.,https://www.amazon.com/dp/0140051643,5.0,Original price not found
0140280197,The 48 Laws of Power,Robert Greene,4.5,978-0140280197,0140280197,$17.95,$20.00,Politics & Social Sciences,Politics & Government,In Stock.,https://www.amazon.com/dp/0140280197,5.0,ASIN number not found
0142181110,Average Is Over: Powering America Beyond the Age of the Great Stagnation,Tyler Cowen,3.7,978-0142181119,0142181110,$17.00,$17.00,Engineering & Transportation,Engineering,Only 13 left in stock (more on the way).,https://www.amazon.com/dp/0142181110,5.0,Original price not found
0143037455,Napoleon: A Life,Paul Johnson,3.8,978-0143037453,0143037455,$10.39,$14.00,Biographies & Memoirs,Historical,In Stock.,https://www.amazon.com/dp/0143037455,5.0,Error in ISBN10
0143109014,Perennial Seller: The Art of Making and Marketing Work that Lasts,Ryan Holiday,4.6,978-0143109013,0143109014,$17.68,$26.00,Reference,"Writing, Research & Publishing Guides",In Stock.,https://www.amazon.com/dp/0143109014,5.0,ASIN number not found
0143112783,The 33 Strategies of War (Joost Elffers Books),Robert Greene,4.6,978-0143112785,0143112783,$20.00,$25.00,Business & Money,Business Culture,In Stock.,https://www.amazon.com/dp/0143112783,5.0,ASIN number not found
0143116800,Lords of Finance: The Bankers Who Broke the World,Liaquat Ahamed,4.5,978-0143116806,0143116800,$13.66,$21.00,Business & Money,Biography & History,In Stock.,https://www.amazon.com/dp/0143116800,5.0,Error in ISBN10
0143117009,Collapse: How Societies Choose to Fail or Succeed: Revised Edition,Jared Diamond,4.3,978-0143117001,0143117009,$13.59,$20.00,Science & Math,Earth Sciences,In Stock.,https://www.amazon.com/dp/0143117009,5.0,ASIN number not found
0143117998,Churchill,Paul Johnson,4.3,978-0143117995,0143117998,$13.65,$16.00,Biographies & Memoirs,Historical,In Stock.,https://www.amazon.com/dp/0143117998,5.0,Error in ISBN10
0143118242,Too Big to Fail: The Inside Story of How Wall Street and Washington Fought to Save the Financial System--and Themselves,Andrew Ross Sorkin,4.3,978-0143118244,0143118242,$17.00,$20.00,Business & Money,Economics,In Stock.,https://www.amazon.com/dp/0143118242,5.0,Error in ISBN10
0143118773,Jesus: A Biography from a Believer.,Paul Johnson,4.4,978-0143118770,0143118773,$12.31,$17.00,Christian Books & Bibles,Catholicism,In Stock.,https://www.amazon.com/dp/0143118773,5.0,ASIN number not found
0143121359,The Beginning of Infinity: Explanations That Transform the World,David Deutsch,4.4,978-0143121350,0143121359,$19.00,$20.00,Business & Money,Management & Leadership,In Stock.,https://www.amazon.com/dp/0143121359,5.0,Error in ISBN10
0143122215,Socrates: A Man for Our Times,Paul Johnson,4.1,978-0143122210,0143122215,$12.15,$17.00,Biographies & Memoirs,Arts & Literature,In Stock.,https://www.amazon.com/dp/0143122215,5.0,ASIN number not found
014312739X,Eisenhower: A Life,Paul Johnson,3.6,978-0143127390,014312739X,$12.27,$17.00,Biographies & Memoirs,Leaders & Notable People,In Stock.,https://www.amazon.com/dp/014312739X,5.0,ASIN number not found
0143131141,The Secret Lives of Color,Kassia St Clair,4.8,978-0143131144,0143131141,$16.28,$20.00,Arts & Photography,Graphic Design,In Stock.,https://www.amazon.com/dp/0143131141,5.0,ASIN number not found
014313129X,Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,Douglas Rushkoff,4.0,978-0143131298,014313129X,$11.53,$17.00,Business & Money,Economics,Only 1 left in stock - order soon.,https://www.amazon.com/dp/014313129X,5.0,Error in ISBN10
0147509777,Darwin: Portrait of a Genius,Paul Johnson,3.7,978-0147509772,0147509777,$14.00,$17.00,Biographies & Memoirs,Professionals & Academics,Only 8 left in stock (more on the way).,https://www.amazon.com/dp/0147509777,5.0,ASIN number not found
